time,rule,magic,signal_id,dir,ref_entry,close_price,pips,closed_count,profit_usd,hold_min,remain,reason
2026.09.08 21:48:16,M,600012,-1004472107780_2163,SELL,4391.59,4379.29,123.0,0,0.00,0.0,1,C:TP2到達
2026.09.08 21:48:16,C,600002,-1004472107780_2163,SELL,4391.59,4379.29,123.0,2,25.79,387.7,0,C:TP2到達
2026.09.08 21:48:45,I,600008,-1004472107780_2163,SELL,4389.80,4374.30,155.0,0,0.00,0.0,1,I:TP2(全決済)
2026.09.09 09:06:45,F,600005,-1004472107780_2221,SELL,4405.37,4403.10,22.7,3,5.54,1.2,2,F:半数決済(+20p)
2026.09.09 09:07:35,H,600007,-1004472107780_2221,SELL,4405.31,4401.30,40.1,3,11.45,1.8,2,H:TP1到達
2026.09.09 09:07:45,C,600002,-1004472107780_2221,SELL,4405.15,4401.14,40.1,3,11.62,2.0,2,C:TP1到達
2026.09.09 09:07:53,G,600006,-1004472107780_2221,SELL,4405.03,4401.01,40.2,2,7.53,2.3,3,G:1段目(+40p)
2026.09.09 09:07:59,E,600004,-1004472107780_2221,SELL,4404.88,4400.47,44.1,0,0.00,0.0,5,E:建値移動(決済なし)
2026.09.09 09:08:02,J,600009,-1004472107780_2221,SELL,4404.71,4400.47,42.4,2,7.84,2.3,2,J:TP1到達
2026.09.09 09:10:15,E,600004,-1004472107780_2221,SELL,4404.88,4399.70,51.8,3,15.65,4.6,2,E:1.1倍水準到達
2026.09.09 09:21:55,R,600017,-1004472107780_2221,SELL,4405.37,4397.87,75.0,3,21.50,16.4,2,R:半数決済
2026.09.09 09:22:08,I,600008,-1004472107780_2221,SELL,4404.97,4397.45,75.2,3,21.62,16.4,2,I:TP1(半数)
2026.09.09 09:27:29,G,600006,-1004472107780_2221,SELL,4405.03,4397.03,80.0,2,15.98,21.8,1,G:2段目(+80p)
2026.09.09 09:27:36,T,600019,-1004472107780_2221,SELL,4404.93,4396.90,80.3,3,23.78,21.8,2,T:半数決済
2026.09.09 09:28:59,E,600004,-1004472107780_2221,SELL,4404.88,4395.60,92.8,2,18.67,23.2,0,E:2.0倍水準到達
2026.09.09 09:29:00,H,600007,-1004472107780_2221,SELL,4405.31,4395.29,100.2,0,0.00,0.0,2,H:建値移動(決済なし)
